Language,Method,Avg Precision,Avg Recall,Avg F1
FR,context,0.5965,0.623,0.6035
FR,context+glossary,0.8895,0.9455,0.8785000000000001
FR,default,0.7135,0.7055,0.6995
FR,glossary,0.9015,0.9575,0.9035
GE,context,0.43400000000000005,0.5745,0.46950000000000003
GE,context+glossary,0.6805,0.863,0.692
GE,default,0.47800000000000004,0.619,0.5095
GE,glossary,0.713,1.0,0.7985
UA,context,0.5585,0.5115,0.509
UA,context+glossary,0.8694999999999999,0.958,0.881
UA,default,0.5835,0.506,0.5275
UA,glossary,0.8665,0.9524999999999999,0.877
